episode,reward,tests_selected,bug_exists,bug_detected,epsilon,accuracy,loss
1,4.353,9,False,False,0.995,1.0,0.0
2,6.118,3,False,False,0.99,1.0,0.0
3,4.941,7,False,False,0.9851,1.0,0.0
4,5.529,5,False,False,0.9801,1.0,0.0
5,6.118,3,False,False,0.9752,1.0,0.0
6,13.529,5,True,True,0.9704,1.0,0.0
7,6.706,1,False,False,0.9655,1.0,0.0
8,13.235,6,True,True,0.9607,1.0,0.0
9,6.412,2,False,False,0.9559,1.0,0.0
10,6.412,2,False,False,0.9511,1.0,0.0
11,6.706,1,False,False,0.9464,1.0,0.0
12,5.529,5,False,False,0.9416,1.0,0.0
13,5.824,4,False,False,0.9369,1.0,0.0
14,5.824,4,False,False,0.9322,1.0,0.0
15,6.412,2,False,False,0.9276,1.0,0.0
16,6.118,3,False,False,0.9229,1.0,0.0
17,5.824,4,False,False,0.9183,1.0,0.0
18,6.706,1,False,False,0.9137,1.0,0.0
19,4.941,7,False,False,0.9092,1.0,0.0
20,4.941,7,False,False,0.9046,1.0,0.0
21,6.412,2,False,False,0.9001,1.0,0.0
22,5.824,4,False,False,0.8956,1.0,0.0
23,5.824,4,False,False,0.8911,1.0,0.0
24,4.647,8,False,False,0.8867,1.0,0.0
25,6.412,2,False,False,0.8822,1.0,0.0
26,-5.588,2,True,False,0.8778,0.9615,0.0
27,5.529,5,False,False,0.8734,0.963,0.0
28,6.706,1,False,False,0.8691,0.9643,0.0
29,6.706,1,False,False,0.8647,0.9655,0.0
30,-6.471,5,True,False,0.8604,0.9333,0.0
31,-5.588,2,True,False,0.8561,0.9032,0.0
32,6.706,1,False,False,0.8518,0.9062,5.971596
33,6.412,2,False,False,0.8475,0.9091,5.819201
34,5.824,4,False,False,0.8433,0.9118,5.525131
35,14.118,3,True,True,0.8391,0.9143,5.744238
36,6.412,2,False,False,0.8349,0.9167,5.535266
37,6.412,2,False,False,0.8307,0.9189,5.20008
38,-5.294,1,True,False,0.8266,0.8947,5.033311
39,-5.882,3,True,False,0.8224,0.8718,4.883113
40,-6.176,4,True,False,0.8183,0.85,4.587808
41,4.941,7,False,False,0.8142,0.8537,4.416505
42,-5.294,1,True,False,0.8102,0.8333,3.90169
43,13.824,4,True,True,0.8061,0.8372,4.627089
44,14.118,3,True,True,0.8021,0.8409,4.818876
45,5.529,5,False,False,0.7981,0.8444,4.778375
46,6.412,2,False,False,0.7941,0.8478,4.400107
47,-5.588,2,True,False,0.7901,0.8298,4.158478
48,14.706,1,True,True,0.7862,0.8333,4.382733
49,12.647,8,True,True,0.7822,0.8367,4.689081
50,6.118,3,False,False,0.7783,0.84,4.721892
51,6.706,1,False,False,0.7744,0.8431,4.399572
52,4.941,7,False,False,0.7705,0.8462,4.923281
53,5.824,4,False,False,0.7667,0.8491,3.9931
54,12.941,7,True,True,0.7629,0.8519,3.819455
55,-7.059,7,True,False,0.759,0.8364,3.91713
56,5.529,5,False,False,0.7553,0.8393,4.522842
57,6.412,2,False,False,0.7515,0.8421,5.2189
58,-6.471,5,True,False,0.7477,0.8276,4.458863
59,6.706,1,False,False,0.744,0.8305,4.540696
60,6.412,2,False,False,0.7403,0.8333,4.393726
61,12.941,7,True,True,0.7366,0.8361,5.210717
62,4.647,8,False,False,0.7329,0.8387,4.394198
63,5.235,6,False,False,0.7292,0.8413,4.610927
64,-6.176,4,True,False,0.7256,0.8281,4.07447
65,5.529,5,False,False,0.7219,0.8308,3.734163
66,13.529,5,True,True,0.7183,0.8333,4.218391
67,6.412,2,False,False,0.7147,0.8358,4.063288
68,5.235,6,False,False,0.7112,0.8382,3.486726
69,13.824,4,True,True,0.7076,0.8406,4.02901
70,5.235,6,False,False,0.7041,0.8429,4.290646
71,4.647,8,False,False,0.7005,0.8451,3.698771
72,-5.588,2,True,False,0.697,0.8333,3.863634
73,5.824,4,False,False,0.6936,0.8356,3.300271
74,5.529,5,False,False,0.6901,0.8378,3.068216
75,6.706,1,False,False,0.6866,0.84,3.547916
76,5.235,6,False,False,0.6832,0.8421,3.528897
77,6.706,1,False,False,0.6798,0.8442,3.866667
78,6.412,2,False,False,0.6764,0.8462,3.992016
79,-5.294,1,True,False,0.673,0.8354,3.452967
80,5.824,4,False,False,0.6696,0.8375,3.086513
81,13.529,5,True,True,0.6663,0.8395,3.065127
82,6.412,2,False,False,0.663,0.8415,3.858787
83,6.412,2,False,False,0.6597,0.8434,3.157356
84,6.412,2,False,False,0.6564,0.8452,3.173432
85,14.118,3,True,True,0.6531,0.8471,3.733829
86,6.706,1,False,False,0.6498,0.8488,3.202736
87,-5.882,3,True,False,0.6466,0.8391,3.157001
88,-5.294,1,True,False,0.6433,0.8295,3.718713
89,13.235,6,True,True,0.6401,0.8315,3.650535
90,5.529,5,False,False,0.6369,0.8333,3.117326
91,6.118,3,False,False,0.6337,0.8352,3.586759
92,4.353,9,False,False,0.6306,0.837,3.443536
93,13.824,4,True,True,0.6274,0.8387,3.262057
94,6.118,3,False,False,0.6243,0.8404,3.340876
95,5.824,4,False,False,0.6211,0.8421,3.168404
96,-5.294,1,True,False,0.618,0.8333,2.215621
97,6.118,3,False,False,0.6149,0.8351,3.276524
98,6.412,2,False,False,0.6119,0.8367,2.913025
99,14.706,1,True,True,0.6088,0.8384,2.746074
100,13.824,4,True,True,0.6058,0.84,3.939874
101,6.118,3,False,False,0.6027,0.8416,2.900347
102,4.647,8,False,False,0.5997,0.8431,3.479843
103,4.647,8,False,False,0.5967,0.8447,3.403236
104,6.412,2,False,False,0.5937,0.8462,3.508048
105,4.647,8,False,False,0.5908,0.8476,2.640706
106,13.824,4,True,True,0.5878,0.8491,2.672396
107,-6.471,5,True,False,0.5849,0.8411,2.318825
108,4.941,7,False,False,0.582,0.8426,3.455506
109,5.824,4,False,False,0.579,0.844,3.248997
110,14.118,3,True,True,0.5762,0.8455,2.521128
111,13.529,5,True,True,0.5733,0.8468,4.013389
112,5.235,6,False,False,0.5704,0.8482,3.606896
113,13.235,6,True,True,0.5676,0.8496,3.126214
114,6.118,3,False,False,0.5647,0.8509,3.075645
115,6.706,1,False,False,0.5619,0.8522,2.538306
116,6.706,1,False,False,0.5591,0.8534,3.145946
117,5.235,6,False,False,0.5563,0.8547,2.981878
118,6.118,3,False,False,0.5535,0.8559,2.246518
119,6.118,3,False,False,0.5507,0.8571,2.799131
120,-5.294,1,True,False,0.548,0.85,3.13747
121,6.118,3,False,False,0.5452,0.8512,2.170391
122,5.529,5,False,False,0.5425,0.8525,3.663135
123,6.412,2,False,False,0.5398,0.8537,2.3082
124,-5.588,2,True,False,0.5371,0.8468,2.97121
125,5.235,6,False,False,0.5344,0.848,3.05487
126,13.529,5,True,True,0.5318,0.8492,2.654922
127,6.706,1,False,False,0.5291,0.8504,2.609073
128,6.412,2,False,False,0.5264,0.8516,2.807012
129,5.529,5,False,False,0.5238,0.8527,2.690904
130,-5.588,2,True,False,0.5212,0.8462,2.831901
131,5.824,4,False,False,0.5186,0.8473,2.724023
132,6.118,3,False,False,0.516,0.8485,1.853689
133,6.706,1,False,False,0.5134,0.8496,2.12779
134,-5.588,2,True,False,0.5108,0.8433,2.954598
135,4.647,8,False,False,0.5083,0.8444,3.086134
136,5.529,5,False,False,0.5058,0.8456,2.74945
137,12.941,7,True,True,0.5032,0.8467,2.388305
138,5.235,6,False,False,0.5007,0.8478,1.902012
139,6.706,1,False,False,0.4982,0.8489,2.680275
140,6.412,2,False,False,0.4957,0.85,3.72382
141,-5.882,3,True,False,0.4932,0.844,1.978016
142,4.941,7,False,False,0.4908,0.8451,2.976096
143,6.412,2,False,False,0.4883,0.8462,2.674989
144,5.529,5,False,False,0.4859,0.8472,2.62893
145,13.529,5,True,True,0.4834,0.8483,2.516243
146,6.706,1,False,False,0.481,0.8493,3.545587
147,-6.471,5,True,False,0.4786,0.8435,2.040519
148,4.941,7,False,False,0.4762,0.8446,3.025962
149,4.941,7,False,False,0.4738,0.8456,2.820641
150,14.412,2,True,True,0.4715,0.8467,4.038671
151,6.412,2,False,False,0.4691,0.8477,2.716558
152,6.412,2,False,False,0.4668,0.8487,3.574853
153,6.412,2,False,False,0.4644,0.8497,2.781294
154,5.824,4,False,False,0.4621,0.8506,3.320442
155,6.412,2,False,False,0.4598,0.8516,2.186855
156,14.118,3,True,True,0.4575,0.8526,3.012825
157,5.235,6,False,False,0.4552,0.8535,2.148435
158,-6.471,5,True,False,0.4529,0.8481,3.456881
159,-6.176,4,True,False,0.4507,0.8428,3.025743
160,5.824,4,False,False,0.4484,0.8438,3.208546
161,14.412,2,True,True,0.4462,0.8447,2.417682
162,6.118,3,False,False,0.444,0.8457,3.156234
163,5.824,4,False,False,0.4417,0.8466,4.022602
164,6.706,1,False,False,0.4395,0.8476,3.990031
165,5.235,6,False,False,0.4373,0.8485,2.976416
166,-6.765,6,True,False,0.4351,0.8434,3.352773
167,-5.588,2,True,False,0.433,0.8383,2.642605
168,4.941,7,False,False,0.4308,0.8393,2.896419
169,-6.471,5,True,False,0.4286,0.8343,3.697962
170,5.824,4,False,False,0.4265,0.8353,2.350104
171,4.941,7,False,False,0.4244,0.8363,2.826568
172,-5.588,2,True,False,0.4223,0.8314,3.015704
173,5.824,4,False,False,0.4201,0.8324,3.408325
174,5.824,4,False,False,0.418,0.8333,2.45801
175,6.118,3,False,False,0.4159,0.8343,3.184871
176,6.706,1,False,False,0.4139,0.8352,2.375241
177,5.824,4,False,False,0.4118,0.8362,2.756439
178,-5.588,2,True,False,0.4097,0.8315,2.552504
179,13.235,6,True,True,0.4077,0.8324,2.288583
180,-6.176,4,True,False,0.4057,0.8278,1.858915
181,14.706,1,True,True,0.4036,0.8287,2.095258
182,6.118,3,False,False,0.4016,0.8297,3.220348
183,13.529,5,True,True,0.3996,0.8306,2.613573
184,5.235,6,False,False,0.3976,0.8315,2.72067
185,13.824,4,True,True,0.3956,0.8324,3.333702
186,6.118,3,False,False,0.3936,0.8333,3.67871
187,5.235,6,False,False,0.3917,0.8342,2.029542
188,6.118,3,False,False,0.3897,0.8351,2.641008
189,6.118,3,False,False,0.3878,0.836,2.985307
190,-7.059,7,True,False,0.3858,0.8316,3.356379
191,13.529,5,True,True,0.3839,0.8325,3.255884
192,6.706,1,False,False,0.382,0.8333,3.060437
193,6.412,2,False,False,0.3801,0.8342,3.055136
194,-6.176,4,True,False,0.3782,0.8299,2.873066
195,5.824,4,False,False,0.3763,0.8308,2.844432
196,4.647,8,False,False,0.3744,0.8316,1.95712
197,12.941,7,True,True,0.3725,0.8325,2.944571
198,4.941,7,False,False,0.3707,0.8333,3.20849
199,6.118,3,False,False,0.3688,0.8342,2.786707
200,5.235,6,False,False,0.367,0.835,4.542664
201,4.647,8,False,False,0.3651,0.8358,1.677589
202,13.235,6,True,True,0.3633,0.8366,3.464998
203,6.118,3,False,False,0.3615,0.8374,3.225357
204,5.529,5,False,False,0.3597,0.8382,2.7191
205,4.941,7,False,False,0.3579,0.839,2.633021
206,5.824,4,False,False,0.3561,0.8398,2.726379
207,5.529,5,False,False,0.3543,0.8406,3.286262
208,4.647,8,False,False,0.3525,0.8413,2.818762
209,6.118,3,False,False,0.3508,0.8421,3.173337
210,6.706,1,False,False,0.349,0.8429,3.13219
211,-5.588,2,True,False,0.3473,0.8389,2.876696
212,4.647,8,False,False,0.3455,0.8396,3.427861
213,6.412,2,False,False,0.3438,0.8404,2.752948
214,6.118,3,False,False,0.3421,0.8411,2.68698
215,-6.765,6,True,False,0.3404,0.8372,4.137651
216,5.824,4,False,False,0.3387,0.838,3.024939
217,6.118,3,False,False,0.337,0.8387,2.611034
218,6.706,1,False,False,0.3353,0.8394,3.088976
219,5.235,6,False,False,0.3336,0.8402,2.767918
220,6.412,2,False,False,0.332,0.8409,3.239011
221,13.824,4,True,True,0.3303,0.8416,2.790175
222,6.118,3,False,False,0.3286,0.8423,2.331992
223,5.529,5,False,False,0.327,0.843,3.028292
224,14.118,3,True,True,0.3254,0.8438,3.53033
225,-5.588,2,True,False,0.3237,0.84,3.133789
226,14.412,2,True,True,0.3221,0.8407,3.635821
227,5.824,4,False,False,0.3205,0.8414,2.811821
228,-7.059,7,True,False,0.3189,0.8377,2.827486
229,6.412,2,False,False,0.3173,0.8384,2.331244
230,6.412,2,False,False,0.3157,0.8391,2.645204
231,6.412,2,False,False,0.3141,0.8398,2.540645
232,6.412,2,False,False,0.3126,0.8405,1.711221
233,6.118,3,False,False,0.311,0.8412,2.954009
234,5.529,5,False,False,0.3095,0.8419,2.663816
235,13.529,5,True,True,0.3079,0.8426,3.035341
236,12.941,7,True,True,0.3064,0.8432,2.789903
237,5.529,5,False,False,0.3048,0.8439,2.861734
238,4.647,8,False,False,0.3033,0.8445,2.76179
239,-5.882,3,True,False,0.3018,0.841,2.644845
240,-5.294,1,True,False,0.3003,0.8375,2.25181
241,14.412,2,True,True,0.2988,0.8382,3.028153
242,6.412,2,False,False,0.2973,0.8388,2.321385
243,6.412,2,False,False,0.2958,0.8395,3.183813
244,12.941,7,True,True,0.2943,0.8402,2.379431
245,4.941,7,False,False,0.2929,0.8408,3.118899
246,6.706,1,False,False,0.2914,0.8415,2.789425
247,-5.882,3,True,False,0.2899,0.8381,2.962184
248,6.412,2,False,False,0.2885,0.8387,2.822006
249,-5.588,2,True,False,0.287,0.8353,2.948947
250,6.118,3,False,False,0.2856,0.836,3.066656
251,-6.471,5,True,False,0.2842,0.8327,2.969579
252,5.235,6,False,False,0.2828,0.8333,2.552959
253,6.118,3,False,False,0.2813,0.834,2.776589
254,6.118,3,False,False,0.2799,0.8346,3.859159
255,-5.588,2,True,False,0.2785,0.8314,2.668573
256,-7.059,7,True,False,0.2771,0.8281,2.328947
257,-5.588,2,True,False,0.2758,0.8249,3.174823
258,13.529,5,True,True,0.2744,0.8256,1.908642
259,-5.588,2,True,False,0.273,0.8224,2.734851
260,-6.176,4,True,False,0.2716,0.8192,3.197799
261,6.412,2,False,False,0.2703,0.8199,2.672287
262,6.118,3,False,False,0.2689,0.8206,2.662088
263,-6.765,6,True,False,0.2676,0.8175,3.049231
264,6.412,2,False,False,0.2663,0.8182,3.394968
265,6.118,3,False,False,0.2649,0.8189,2.602783
266,5.235,6,False,False,0.2636,0.8195,3.87331
267,5.235,6,False,False,0.2623,0.8202,3.566407
268,5.824,4,False,False,0.261,0.8209,3.281861
269,-6.765,6,True,False,0.2597,0.8178,3.543474
270,5.235,6,False,False,0.2584,0.8185,3.164784
271,6.118,3,False,False,0.2571,0.8192,3.262009
272,14.412,2,True,True,0.2558,0.8199,3.729651
273,6.706,1,False,False,0.2545,0.8205,3.450454
274,13.529,5,True,True,0.2532,0.8212,3.473472
275,6.706,1,False,False,0.252,0.8218,2.710903
276,14.412,2,True,True,0.2507,0.8225,3.185417
277,6.412,2,False,False,0.2495,0.8231,2.26922
278,12.941,7,True,True,0.2482,0.8237,3.156485
279,5.235,6,False,False,0.247,0.8244,3.001149
280,12.941,7,True,True,0.2457,0.825,3.759128
281,6.706,1,False,False,0.2445,0.8256,2.801529
282,14.118,3,True,True,0.2433,0.8262,3.229429
283,5.235,6,False,False,0.2421,0.8269,1.753593
284,-5.882,3,True,False,0.2409,0.8239,2.846263
285,-6.176,4,True,False,0.2397,0.8211,4.410765
286,6.118,3,False,False,0.2385,0.8217,3.560278
287,-5.588,2,True,False,0.2373,0.8188,2.840888
288,6.412,2,False,False,0.2361,0.8194,3.225517
289,6.118,3,False,False,0.2349,0.8201,4.270144
290,6.118,3,False,False,0.2337,0.8207,4.260952
291,5.235,6,False,False,0.2326,0.8213,4.228807
292,6.412,2,False,False,0.2314,0.8219,3.588786
293,4.941,7,False,False,0.2302,0.8225,3.224885
294,5.235,6,False,False,0.2291,0.8231,2.954355
295,5.529,5,False,False,0.2279,0.8237,2.622928
296,4.941,7,False,False,0.2268,0.8243,2.458946
297,4.647,8,False,False,0.2257,0.8249,2.781959
